movie_id,primary_title,runtime_minutes,genres,averagerating,numvotes
tt1728196,Hara-Kiri: Death of a Samurai,128.0,Drama,7.4,6636
tt1728217,Tomie: Unlimited,85.0,Horror,4.6,668
tt1728986,Bol Bachchan,155.0,"Action,Comedy,Drama",5.5,7359
tt1729218,R.I.F.,90.0,"Crime,Thriller",6.0,623
tt1729659,Sharon Amrani: Remember His Name,62.0,Documentary,7.7,10
tt1733578,Zombie Diaries 2,88.0,"Action,Horror,Sci-Fi",3.8,2280
tt1734163,The Price of Sex,72.0,"Crime,Documentary,Drama",7.5,147
tt1735350,Empty Rooms,92.0,"Drama,Horror,Mystery",4.2,232
tt1735485,The Tunnel,90.0,"Horror,Mystery,Thriller",5.9,18038
tt1735495,Addiction Incorporated,100.0,"Biography,Documentary",6.9,105
tt1735952,Five Days Gone,86.0,Drama,6.9,8
tt1736000,Il settimo annuncio,85.0,"Drama,Mystery,Thriller",1.4,5
tt1737724,Seed Money: The Chuck Holmes Story,71.0,"Biography,Documentary,History",6.1,81
tt1740056,"Alicia, Go Yonder",65.0,Drama,5.5,52
tt1740117,Toryboy the Movie,90.0,"Biography,Documentary,News",8.7,60
tt1740539,Roda tsanta kai kopana,,Comedy,1.9,636
tt1740684,Midori-ko,55.0,"Animation,Horror,Sci-Fi",6.1,76
tt1745959,The Bloody Indulgent,80.0,"Comedy,Horror,Musical",4.9,56
tt1748055,Ikland,88.0,"Adventure,Documentary",8.7,6
tt1748157,Paper Ketchup,57.0,"Comedy,Musical,Romance",7.9,7
tt1748212,Starting at the Finish Line: The Coach Buehler Story,67.0,Documentary,7.3,9
tt1753471,Backstabber,90.0,Horror,5.6,55
tt1753577,Charlotte: A Wooden Boat Story,100.0,"Documentary,Drama",7.8,9
tt1753584,Sexual Chronicles of a French Family,85.0,"Comedy,Drama,Romance",5.3,3526
tt1753602,Cointelpro 101,56.0,"Documentary,History",7.8,18
tt1753728,Don't Mess with the IRS,121.0,"Action,Comedy",7.9,8
tt1753780,En attendant le vote...,102.0,Drama,7.8,11
tt1754602,The Busters - Eine Band für die Ewigkeit,61.0,Documentary,7.8,5
tt1754649,The Last Buffalo Hunt,76.0,"Documentary,History",5.5,13
tt1754750,3 of a Kind,106.0,"Crime,Drama",4.8,158
tt1754950,Última sesión,90.0,Drama,6.2,5
tt1756828,The Tea Man,74.0,"Crime,Mystery,Thriller",3.4,9
tt1758611,For the Love of Elephants,46.0,"Biography,Documentary",8.7,15
tt1758741,People Like Us,55.0,Drama,6.4,13
tt1758842,Wrestling for Jesus: The Tale of T-Money,70.0,"Documentary,Drama",5.6,41
tt1759727,Pâtonâzu,119.0,Drama,7.3,18
tt1763217,The Perfect Stranger,92.0,"Comedy,Drama",6.3,289
tt1764164,Adopting Haiti,60.0,Documentary,6.2,6
tt1764311,Filthy Rich Filthy Uncle Phil,91.0,Comedy,5.9,24
tt1764500,Moves,46.0,"Comedy,Drama",7.6,8
tt1765868,Kiki's Story: A Psychodrama Session,53.0,Documentary,8.8,5
tt1766009,Prankstar,,Comedy,5.4,24
